iter	Passed	Remaining
445	1141	1418
446	1143	1415
447	1146	1412
448	1147	1408
449	1149	1404
450	1150	1400
451	1152	1397
452	1153	1393
453	1155	1389
454	1156	1385
455	1158	1382
456	1162	1381
457	1164	1377
458	1166	1374
459	1167	1371
460	1170	1369
461	1172	1365
462	1174	1362
463	1176	1359
464	1178	1355
465	1179	1351
466	1181	1348
467	1182	1344
468	1184	1340
469	1185	1337
470	1190	1337
471	1192	1333
472	1194	1330
473	1195	1326
474	1197	1323
475	1198	1319
476	1199	1315
477	1201	1311
478	1205	1311
479	1207	1307
480	1208	1304
481	1210	1300
482	1211	1296
483	1213	1293
484	1214	1289
485	1216	1287
486	1219	1284
487	1220	1280
488	1224	1279
489	1226	1276
490	1228	1273
491	1231	1271
492	1234	1269
493	1236	1266
494	1238	1263
495	1239	1259
496	1242	1257
497	1245	1255
498	1249	1254
499	1251	1251
500	1253	1248
501	1255	1245
502	1256	1241
503	1258	1238
504	1260	1235
505	1262	1232
506	1263	1229
507	1265	1225
508	1267	1222
509	1268	1218
510	1270	1215
511	1271	1211
512	1273	1208
513	1275	1206
514	1277	1203
515	1279	1200
516	1280	1196
517	1282	1193
518	1284	1190
519	1287	1188
520	1290	1186
521	1293	1184
522	1296	1182
523	1299	1180
524	1302	1178
525	1304	1175
526	1306	1172
527	1308	1169
528	1310	1166
529	1312	1163
530	1313	1160
531	1316	1157
532	1318	1154
533	1319	1151
534	1321	1148
535	1323	1145
536	1325	1143
537	1327	1140
538	1330	1137
539	1332	1135
540	1334	1132
541	1335	1128
542	1337	1125
543	1339	1122
544	1341	1119
545	1343	1116
546	1345	1114
547	1347	1111
548	1348	1108
549	1350	1105
550	1352	1101
551	1354	1098
552	1355	1095
553	1357	1092
554	1360	1090
555	1362	1088
556	1364	1085
557	1365	1081
558	1367	1078
559	1369	1075
560	1370	1072
561	1372	1069
562	1375	1067
563	1377	1064
564	1378	1061
565	1380	1058
566	1382	1055
567	1383	1052
568	1385	1049
569	1388	1047
570	1390	1044
571	1391	1041
572	1393	1038
573	1395	1035
574	1396	1032
575	1398	1029
576	1401	1027
577	1404	1025
578	1406	1022
579	1408	1019
580	1411	1018
581	1414	1016
582	1417	1013
583	1419	1011
584	1421	1008
585	1422	1005
586	1424	1002
587	1426	999
588	1427	996
589	1429	993
590	1432	991
591	1433	988
592	1435	985
593	1437	982
594	1439	979
595	1441	976
596	1443	974
597	1445	971
598	1447	969
599	1449	966
600	1451	963
601	1454	961
602	1456	959
603	1458	956
604	1461	953
605	1463	951
606	1464	948
607	1466	945
608	1468	942
609	1469	939
610	1471	936
611	1473	933
612	1475	931
613	1477	928
614	1479	925
615	1480	923
616	1482	920
617	1484	917
618	1485	914
619	1487	911
620	1489	909
621	1491	906
622	1493	903
623	1495	901
624	1497	898
625	1499	895
626	1501	893
627	1504	891
628	1506	888
629	1508	885
630	1510	883
631	1511	880
632	1513	877
633	1515	874
634	1518	872
635	1519	869
636	1521	866
637	1523	864
638	1524	861
639	1526	858
640	1527	855
641	1529	852
642	1532	850
643	1534	848
644	1535	845
645	1537	842
646	1539	839
647	1541	837
648	1542	834
649	1546	832
650	1549	830
651	1550	827
652	1552	824
653	1554	822
654	1555	819
655	1557	816
656	1559	814
657	1561	811
658	1563	808
659	1564	805
660	1566	803
661	1567	800
662	1569	797
663	1571	795
664	1575	793
665	1577	791
666	1579	788
667	1581	785
668	1583	783
669	1584	780
670	1586	778
671	1590	776
672	1592	773
673	1593	770
674	1595	768
675	1596	765
676	1598	762
677	1600	760
678	1602	757
679	1604	754
680	1605	752
681	1607	749
682	1609	746
683	1611	744
684	1612	741
685	1614	738
686	1619	737
687	1621	735
688	1623	732
689	1624	730
690	1626	727
691	1628	724
692	1631	722
693	1633	720
694	1634	717
695	1636	714
696	1638	712
697	1639	709
698	1641	706
699	1643	704
700	1645	701
701	1647	699
702	1649	696
703	1651	694
704	1652	691
705	1654	688
706	1656	686
707	1658	683
708	1660	681
709	1662	679
710	1664	676
711	1666	673
712	1667	671
713	1669	668
714	1671	666
715	1673	663
716	1675	661
717	1677	658
718	1679	656
719	1680	653
720	1682	651
721	1685	648
722	1687	646
723	1689	644
724	1691	641
725	1693	639
726	1695	636
727	1696	633
728	1698	631
729	1700	628
730	1702	626
731	1704	624
732	1706	621
733	1708	619
734	1710	616
735	1711	614
736	1713	611
737	1715	609
738	1718	607
739	1720	604
740	1722	602
741	1723	599
742	1725	596
743	1727	594
744	1729	592
745	1732	589
746	1733	587
747	1735	584
748	1737	582
749	1738	579
750	1740	577
751	1742	574
752	1744	572
753	1747	569
754	1748	567
755	1750	565
756	1752	562
757	1754	560
758	1755	557
759	1757	555
760	1760	552
761	1761	550
762	1763	547
763	1765	545
764	1767	542
765	1769	540
766	1771	538
767	1774	536
768	1776	533
769	1778	531
770	1779	528
771	1781	526
772	1783	523
773	1784	521
774	1786	518
775	1788	516
776	1790	513
777	1791	511
778	1793	508
779	1794	506
780	1796	503
781	1798	501
782	1804	500
783	1806	497
784	1808	495
785	1810	492
786	1811	490
787	1813	487
788	1815	485
789	1817	483
790	1819	480
791	1821	478
792	1822	475
793	1824	473
794	1826	470
795	1827	468
796	1829	466
797	1834	464
798	1835	461
799	1837	459
800	1839	456
801	1840	454
802	1842	451
803	1843	449
804	1846	447
805	1848	444
806	1849	442
807	1851	439
808	1852	437
809	1854	434
810	1855	432
811	1857	430
812	1859	427
813	1861	425
814	1862	422
815	1864	420
816	1866	418
817	1869	415
818	1871	413
819	1874	411
820	1876	409
821	1878	406
822	1879	404
823	1881	401
824	1883	399
825	1884	397
826	1888	395
827	1893	393
828	1895	390
829	1896	388
830	1898	386
831	1899	383
832	1901	381
833	1903	378
834	1905	376
835	1907	374
836	1909	371
837	1910	369
838	1911	366
839	1913	364
840	1914	362
841	1916	359
842	1918	357
843	1920	354
844	1922	352
845	1923	350
846	1925	347
847	1927	345
848	1928	342
849	1930	340
850	1932	338
851	1934	335
852	1936	333
853	1937	331
854	1939	328
855	1940	326
856	1942	324
857	1943	321
858	1945	319
859	1947	316
860	1949	314
861	1950	312
862	1952	309
863	1954	307
864	1956	305
865	1957	302
866	1960	300
867	1962	298
868	1963	296
869	1965	293
870	1966	291
871	1968	288
872	1969	286
873	1971	284
874	1972	281
875	1975	279
876	1977	277
877	1978	274
878	1980	272
879	1981	270
880	1983	267
881	1984	265
882	1986	263
883	1987	260
884	1990	258
885	1991	256
886	1993	253
887	1994	251
888	1996	249
889	1997	246
890	1998	244
891	2000	242
892	2002	239
893	2004	237
894	2006	235
895	2007	233
896	2009	230
897	2010	228
898	2012	226
899	2013	223
900	2015	221
901	2017	219
902	2019	216
903	2021	214
904	2022	212
905	2024	210
906	2025	207
907	2027	205
908	2028	203
909	2030	200
910	2032	198
911	2034	196
912	2035	193
913	2037	191
914	2039	189
915	2040	187
916	2042	184
917	2044	182
918	2046	180
919	2049	178
920	2051	175
921	2053	173
922	2054	171
923	2056	169
924	2057	166
925	2059	164
926	2061	162
927	2063	160
928	2064	157
929	2066	155
930	2067	153
931	2069	150
932	2070	148
933	2072	146
934	2074	144
935	2076	141
936	2077	139
937	2079	137
938	2080	135
939	2082	132
940	2083	130
941	2085	128
942	2086	126
943	2088	123
944	2090	121
945	2092	119
946	2093	117
947	2095	114
948	2096	112
949	2098	110
950	2100	108
951	2101	105
952	2103	103
953	2105	101
954	2107	99
955	2108	97
956	2109	94
957	2111	92
958	2112	90
959	2114	88
960	2115	85
961	2117	83
962	2120	81
963	2121	79
964	2123	77
965	2124	74
966	2126	72
967	2127	70
968	2129	68
969	2130	65
970	2132	63
971	2134	61
972	2136	59
973	2137	57
974	2139	54
975	2141	52
976	2143	50
977	2145	48
978	2147	46
979	2149	43
980	2151	41
981	2153	39
982	2155	37
983	2157	35
984	2159	32
985	2161	30
986	2163	28
987	2165	26
988	2166	24
989	2168	21
990	2170	19
991	2171	17
992	2173	15
993	2176	13
994	2178	10
995	2180	8
996	2181	6
997	2183	4
998	2185	2
999	2186	0
